iter	MultiClass
0	1.064398827
1	1.037337851
2	1.015696623
3	0.9989298241
4	0.9850226824
5	0.9732238617
6	0.9633219116
7	0.9546304089
8	0.9471209089
9	0.9406960531
10	0.935251137
11	0.9308100776
12	0.9268930809
13	0.9237638
14	0.9210211826
15	0.9186019271
16	0.9163179348
17	0.9137637055
18	0.9117855432
19	0.9093214666
20	0.9079663092
21	0.9060810305
22	0.9044407151
23	0.9029968879
24	0.9022171214
25	0.9013531338
26	0.8998421953
27	0.8983440252
28	0.8972324197
29	0.8965642522
30	0.8952284345
31	0.8945669417
32	0.8929731004
33	0.8924302741
34	0.8910830152
35	0.8901242601
36	0.8888474838
37	0.8879395966
38	0.8873585578
39	0.8866865637
40	0.8858742564
41	0.8849520949
42	0.8841856791
43	0.8835570362
44	0.8828406567
45	0.8822772838
46	0.8815296649
47	0.8811641573
48	0.880774394
49	0.8803770496
50	0.8798091144
51	0.8794485468
52	0.8789711406
53	0.8783957086
54	0.8773744383
55	0.8768942434
56	0.8766038534
57	0.875831683
58	0.8752618111
59	0.8748025511
60	0.8744163734
61	0.8739114169
62	0.8732965905
63	0.8728958751
64	0.8725306157
65	0.8720716809
66	0.8717565244
67	0.8716167789
68	0.8712604021
69	0.8707313307
70	0.8702418859
71	0.8700299587
72	0.8697796632
73	0.8692285919
74	0.8689884645
75	0.8686859359
76	0.8682821208
77	0.867913989
78	0.8675737665
79	0.867392619
80	0.8671419398
81	0.8667490992
82	0.866552782
83	0.8662929535
84	0.8658226182
85	0.8654384171
86	0.8651039652
87	0.8646580575
88	0.8643663946
89	0.8642282931
90	0.8639668082
91	0.8634190251
92	0.863308111
93	0.8629305419
94	0.8627394929
95	0.8623563347
96	0.8620991515
97	0.8617817952
98	0.8614580154
99	0.8610412021
100	0.860512771
101	0.8603175201
102	0.8600252397
103	0.8597292094
104	0.8594825804
105	0.8592745445
106	0.8590285787
107	0.8588926519
108	0.8586321964
109	0.858286483
110	0.8580336141
111	0.857951403
112	0.8576189453
113	0.8574894758
114	0.8572243803
115	0.8569983178
116	0.8569317249
117	0.8566469009
118	0.8564620103
119	0.8561831752
120	0.8558532185
121	0.8553409227
122	0.8552503986
123	0.8551903192
124	0.8549191268
125	0.8547615033
126	0.8546402407
127	0.8542500525
128	0.8541786605
129	0.8539942728
130	0.8538881874
131	0.8536771854
132	0.8534403027
133	0.8532346975
134	0.8529762424
135	0.8527070927
136	0.8525502177
137	0.8522067717
138	0.8520146165
139	0.851786541
140	0.8515972537
141	0.8513226244
142	0.8510686502
143	0.8508749972
144	0.85066567
145	0.8504861368
146	0.8503078056
147	0.8498657081
148	0.849677769
149	0.8495795673
150	0.8494161771
151	0.8490665583
152	0.8488877492
153	0.8488250646
154	0.8487595028
155	0.8484590385
