iter	Passed	Remaining
0	23	17604
1	46	17215
2	66	16580
3	87	16318
4	108	16184
5	129	16012
6	149	15827
7	170	15782
8	191	15801
9	211	15681
10	232	15606
11	253	15581
12	274	15553
13	294	15501
14	321	15751
15	347	15956
16	376	16248
17	398	16195
18	419	16157
19	439	16043
20	459	15949
21	479	15869
22	500	15816
23	519	15703
24	538	15605
25	558	15547
26	580	15537
27	600	15477
28	619	15390
29	642	15411
30	669	15529
31	691	15504
32	716	15562
33	738	15561
34	765	15631
35	787	15615
36	813	15682
37	836	15676
38	861	15702
39	882	15666
40	904	15646
41	930	15693
42	953	15675
43	982	15770
44	1005	15754
45	1027	15719
46	1047	15661
47	1066	15594
48	1087	15564
49	1107	15508
50	1127	15449
51	1146	15388
52	1166	15334
53	1187	15308
54	1208	15273
55	1227	15215
56	1247	15162
57	1269	15144
58	1294	15155
59	1315	15124
60	1336	15096
61	1355	15045
62	1374	14992
63	1394	14946
64	1414	14906
65	1437	14894
66	1457	14853
67	1475	14801
68	1502	14832
69	1546	15021
70	1575	15067
71	1604	15107
72	1627	15096
73	1649	15071
74	1671	15039
75	1689	14981
76	1709	14942
77	1730	14910
78	1750	14866
79	1770	14824
80	1790	14785
81	1810	14752
82	1830	14711
83	1849	14660
84	1870	14633
85	1891	14607
86	1911	14565
87	1934	14552
88	1956	14532
89	1976	14496
90	1998	14469
91	2024	14480
92	2045	14453
93	2066	14419
94	2087	14392
95	2162	14734
96	2183	14697
97	2206	14677
98	2229	14659
99	2257	14675
100	2286	14691
101	2306	14655
102	2329	14633
103	2351	14607
104	2371	14566
105	2391	14531
106	2413	14501
107	2432	14460
108	2450	14412
109	2470	14374
110	2490	14336
111	2510	14300
112	2530	14264
113	2549	14222
114	2570	14192
115	2596	14189
116	2615	14149
117	2635	14118
118	2655	14079
119	2677	14055
120	2696	14018
121	2722	14014
122	2746	14001
123	2766	13966
124	2787	13937
125	2807	13905
126	2828	13876
127	2850	13849
128	2870	13816
129	2891	13788
130	2915	13774
131	2937	13753
132	2957	13719
133	2976	13683
134	2998	13661
135	3019	13633
136	3038	13594
137	3058	13564
138	3079	13536
139	3100	13507
140	3119	13474
141	3139	13442
142	3159	13412
143	3181	13388
144	3202	13360
145	3224	13337
146	3248	13327
147	3269	13298
148	3289	13269
149	3308	13233
150	3329	13208
151	3350	13181
152	3370	13152
153	3393	13132
154	3415	13109
155	3434	13078
156	3455	13053
157	3476	13027
158	3497	13001
159	3517	12971
160	3540	12951
161	3562	12932
162	3581	12897
163	3603	12874
164	3622	12842
165	3641	12809
166	3660	12778
167	3679	12747
168	3700	12723
169	3720	12694
170	3740	12665
171	3760	12635
172	3781	12611
173	3800	12582
174	3820	12552
175	3840	12525
176	3860	12497
177	3887	12492
178	3908	12468
179	3928	12440
180	3950	12420
181	3970	12391
182	3991	12366
183	4014	12348
184	4033	12317
185	4052	12288
186	4071	12259
187	4093	12237
188	4113	12210
189	4134	12185
190	4153	12156
191	4172	12125
192	4197	12114
193	4217	12086
194	4237	12059
195	4259	12040
196	4280	12015
197	4300	11988
198	4319	11961
199	4343	11943
200	4362	11915
201	4382	11890
202	4403	11866
203	4424	11841
204	4443	11812
205	4463	11787
206	4485	11765
207	4505	11740
208	4528	11721
209	4547	11693
210	4566	11665
211	4590	11648
212	4609	11620
213	4629	11594
214	4650	11572
215	4669	11544
216	4689	11518
217	4709	11492
218	4732	11474
219	4751	11446
220	4772	11423
221	4792	11397
222	4812	11373
223	4834	11351
224	4857	11333
225	4879	11313
226	4898	11286
227	4918	11260
228	4936	11231
229	4956	11205
230	4977	11182
231	4997	11158
232	5017	11133
233	5038	11109
234	5057	11082
235	5077	11058
236	5096	11031
237	5117	11008
238	5136	10981
239	5155	10956
240	5179	10939
241	5200	10917
242	5221	10893
243	5241	10868
244	5260	10842
245	5280	10818
246	5299	10791
247	5319	10768
248	5339	10743
249	5360	10720
250	5380	10696
251	5402	10675
252	5422	10651
253	5441	10626
254	5462	10604
255	5487	10588
256	5509	10568
257	5530	10546
258	5551	10523
259	5571	10500
260	5591	10476
261	5610	10450
262	5632	10429
263	5652	10406
264	5671	10380
265	5693	10358
266	5714	10337
267	5734	10313
268	5755	10291
269	5776	10269
270	5797	10247
271	5822	10232
272	5842	10208
273	5861	10181
274	5882	10161
275	5902	10137
276	5922	10113
277	5943	10090
278	5964	10068
279	5983	10043
280	6004	10021
281	6024	9998
282	6044	9974
283	6065	9951
284	6084	9927
285	6105	9904
286	6127	9885
287	6147	9862
288	6168	9840
289	6188	9816
290	6208	9792
291	6226	9766
292	6246	9742
293	6266	9718
294	6286	9695
295	6306	9672
296	6325	9647
297	6344	9623
298	6365	9602
299	6385	9578
300	6405	9555
301	6425	9532
302	6448	9513
303	6469	9491
304	6491	9470
305	6513	9450
306	6533	9427
307	6552	9403
308	6572	9380
309	6593	9358
310	6613	9335
311	6633	9312
312	6654	9290
313	6676	9271
314	6697	9248
315	6717	9225
316	6737	9203
317	6758	9181
318	6780	9161
319	6801	9139
320	6822	9118
321	6844	9097
322	6864	9074
323	6883	9050
324	6903	9027
325	6922	9003
326	6941	8979
327	6961	8957
328	6981	8933
329	7001	8910
330	7023	8890
331	7042	8866
332	7061	8842
333	7082	8821
334	7105	8802
335	7124	8778
336	7145	8756
337	7168	8738
338	7191	8718
339	7210	8695
340	7232	8674
341	7252	8651
342	7272	8629
343	7293	8608
344	7315	8588
345	7335	8565
346	7355	8542
347	7376	8520
348	7396	8498
349	7420	8480
350	7442	8459
351	7462	8437
352	7482	8415
353	7503	8394
354	7525	8373
355	7545	8351
356	7567	8330
357	7590	8311
358	7611	8290
359	7631	8267
360	7689	8286
361	7724	8279
362	7747	8259
363	7766	8236
364	7788	8214
365	7808	8192
366	7826	8167
367	7845	8144
368	7867	8122
369	7888	8101
370	7908	8078
371	7927	8055
372	7947	8032
373	7968	8011
374	7987	7987
375	8006	7963
376	8026	7941
377	8046	7918
378	8068	7898
379	8091	7878
380	8110	7854
381	8133	7835
382	8154	7813
383	8173	7789
384	8194	7768
385	8214	7746
386	8234	7723
387	8253	7700
388	8275	7679
389	8296	7658
390	8315	7634
391	8334	7611
392	8354	7589
393	8374	7566
394	8398	7547
395	8418	7525
396	8437	7502
397	8458	7480
398	8477	7457
399	8497	7435
400	8517	7412
401	8539	7392
402	8560	7370
403	8580	7348
404	8599	7325
405	8619	7303
406	8638	7280
407	8657	7257
408	8678	7235
409	8697	7212
410	8720	7192
411	8740	7170
412	8760	7148
413	8781	7126
414	8802	7105
415	8822	7083
416	8841	7060
417	8862	7039
418	8883	7017
419	8902	6994
420	8921	6971
421	8940	6949
422	8960	6926
423	8979	6904
424	9000	6882
425	9019	6859
426	9045	6842
427	9065	6820
428	9085	6798
429	9108	6778
430	9128	6756
431	9147	6733
432	9167	6711
433	9187	6689
434	9208	6667
435	9228	6646
436	9247	6623
437	9267	6601
438	9286	6578
439	9306	6557
440	9327	6535
441	9346	6513
442	9372	6495
443	9392	6473
444	9412	6451
445	9434	6430
446	9455	6409
447	9474	6386
448	9492	6363
449	9512	6341
450	9534	6321
451	9554	6299
452	9574	6277
453	9595	6255
454	9616	6235
455	9636	6213
456	9655	6190
457	9676	6169
458	9702	6151
459	9723	6130
460	9742	6107
461	9766	6088
462	9786	6066
463	9805	6044
464	9826	6022
465	9847	6001
466	9867	5979
467	9886	5957
468	9906	5935
469	9925	5913
470	9946	5891
471	9965	5869
472	9985	5847
473	10004	5825
474	10028	5806
475	10049	5784
476	10068	5762
477	10091	5742
478	10111	5720
479	10130	5698
480	10151	5677
481	10173	5656
482	10192	5634
483	10213	5613
484	10232	5590
485	10254	5570
486	10272	5547
487	10291	5525
488	10312	5504
489	10334	5483
490	10359	5464
491	10378	5442
492	10399	5421
493	10419	5399
494	10439	5377
495	10458	5355
496	10478	5334
497	10500	5313
498	10519	5291
499	10538	5269
500	10559	5247
501	10580	5227
502	10600	5205
503	10620	5183
504	10639	5161
505	10659	5140
506	10682	5120
507	10702	5098
508	10721	5076
509	10742	5055
510	10763	5034
511	10784	5013
512	10803	4991
513	10825	4970
514	10845	4948
515	10864	4926
516	10883	4905
517	10902	4883
518	10924	4862
519	10944	4840
520	10964	4819
521	10987	4799
522	11011	4779
523	11030	4757
524	11052	4736
525	11073	4715
526	11092	4693
527	11112	4672
528	11132	4650
529	11153	4629
530	11173	4608
531	11193	4586
532	11213	4565
533	11234	4544
534	11255	4523
535	11273	4501
536	11294	4479
537	11318	4460
538	11338	4438
539	11357	4416
540	11379	4396
541	11398	4374
542	11419	4353
543	11438	4331
544	11458	4309
545	11478	4288
546	11497	4266
547	11517	4245
548	11537	4224
549	11558	4202
550	11577	4181
551	11597	4160
552	11617	4138
553	11636	4116
554	11660	4096
555	11682	4076
556	11702	4054
557	11724	4034
558	11744	4012
559	11762	3990
560	11782	3969
561	11803	3948
562	11822	3926
563	11841	3905
564	11861	3883
565	11880	3862
566	11901	3841
567	11920	3819
568	11940	3798
569	11961	3777
570	11985	3757
571	12005	3736
572	12025	3714
573	12047	3694
574	12068	3672
575	12088	3651
576	12109	3630
577	12129	3609
578	12148	3588
579	12169	3567
580	12194	3547
581	12217	3526
582	12237	3505
583	12258	3484
584	12278	3463
585	12302	3443
586	12322	3421
587	12343	3400
588	12364	3379
589	12383	3358
590	12403	3337
591	12424	3315
592	12447	3295
593	12466	3273
594	12485	3252
595	12506	3231
596	12525	3210
597	12545	3188
598	12565	3167
599	12586	3146
600	12605	3125
601	12628	3104
602	12647	3083
603	12670	3062
604	12690	3041
605	12709	3020
606	12728	2998
607	12750	2977
608	12770	2956
609	12790	2935
610	12810	2914
611	12830	2893
612	12850	2871
613	12870	2850
614	12889	2829
615	12907	2807
616	12931	2787
617	12952	2766
618	12973	2745
619	12994	2724
620	13015	2703
621	13036	2682
622	13056	2661
623	13077	2640
624	13096	2619
625	13153	2605
626	13187	2587
627	13210	2566
628	13230	2545
629	13250	2523
630	13274	2503
631	13294	2482
632	13314	2460
633	13337	2440
634	13356	2418
635	13376	2397
636	13395	2376
637	13414	2354
638	13435	2333
639	13454	2312
640	13473	2291
641	13493	2269
642	13513	2248
643	13535	2227
644	13555	2206
645	13576	2185
646	13601	2165
647	13620	2144
648	13641	2123
649	13662	2101
650	13682	2080
651	13701	2059
652	13721	2038
653	13745	2017
654	13765	1996
655	13783	1975
656	13803	1953
657	13822	1932
658	13844	1911
659	13863	1890
660	13883	1869
661	13909	1849
662	13929	1827
663	13949	1806
664	13971	1785
665	13991	1764
666	14011	1743
667	14029	1722
668	14049	1701
669	14071	1680
670	14090	1658
671	14109	1637
672	14130	1616
673	14149	1595
674	14169	1574
675	14189	1553
676	14209	1532
677	14234	1511
678	14255	1490
679	14276	1469
680	14298	1448
681	14319	1427
682	14339	1406
683	14359	1385
684	14383	1364
685	14403	1343
686	14424	1322
687	14444	1301
688	14467	1280
689	14487	1259
690	14506	1238
691	14527	1217
692	14550	1196
693	14569	1175
694	14589	1154
695	14613	1133
696	14632	1112
697	14652	1091
698	14672	1070
699	14693	1049
700	14714	1028
701	14734	1007
702	14752	986
703	14774	965
704	14794	944
705	14814	923
706	14833	902
707	14855	881
708	14878	860
709	14900	839
710	14921	818
711	14941	797
712	14962	776
713	14981	755
714	15003	734
715	15023	713
716	15043	692
717	15063	671
718	15086	650
719	15108	629
720	15127	608
721	15148	587
722	15168	566
723	15191	545
724	15210	524
725	15232	503
726	15251	482
727	15271	461
728	15291	440
729	15312	419
730	15332	398
731	15351	377
732	15372	356
733	15393	335
734	15414	314
735	15432	293
736	15452	272
737	15471	251
738	15492	230
739	15516	209
740	15536	188
741	15556	167
742	15577	146
743	15596	125
744	15617	104
745	15637	83
746	15659	62
747	15679	41
748	15699	20
749	15720	0
