id,station_code,name,description,address,lat,lon,capacity
1,1,Museo Castagnino,"Museo Castagnino, Bv. Oroño 1675",Oroño 1658,-32.95421439665977,-60.655986964702606,20
2,2,Paseo Pellegrini,"Paseo Pellegrini, Av. Pellegrini 1365",Av. Pellegrini 1377,-32.956663076908484,-60.64486920833588,20
3,3,Plaza López,"Plaza López, Pellegrini  779",Pellegrini  779,-32.95812144981906,-60.63670188188553,20
4,4,Fac. de Ingeniería,"Fac. de Ingeniería, Av. Pellegrini 280",Av. Pellegrini 280,-32.959215213707765,-60.62944918870926,20
5,5,Ciudad Univ. I,"Ciudad Univ. I, Riobamba 239 BIS",Riobamba 239 BIS,-32.96736625395059,-60.62357246875763,21
6,6,Ciudad Univ. II,"Ciudad Univ. II, Berruti 2271",Berruti 2271,-32.96850040867347,-60.62398016452789,16
7,7,Terminal,"Terminal, Cafferata 723",Cafferata 723,-32.93944885753075,-60.67054331302643,21
8,8,Fac. Medicina,"Fac. Medicina, Av. Francia 723",Av. Francia 723,-32.9403492658816,-60.665243268013,21
9,9,Pueyrredón,"Pueyrredón, Pueyrredón 1023",Pueyrredón 1023,-32.94573801821987,-60.65809518098831,12
10,10,Fac. Ciencias Económicas,"Fac. Ciencias Económicas, Bv. Oroño 1283",Bv. Oroño 1283,-32.94996730598237,-60.654785335063934,20
11,11,Plaza San Martín,"Plaza San Martín, Mariano Moreno 779",Mariano Moreno 779,-32.94402733877261,-60.65053671598434,20
12,12,Plaza Pringles,"Plaza Pringles, Córdoba 1551",Córdoba 1551,-32.94531035146112,-60.644497722387314,20
13,14,Plaza Montenegro,"Plaza Montenegro, San Luis 1020",San Luis 1020,-32.9493843560409,-60.63740864396095,21
14,13,Plaza Sarmiento,"Plaza Sarmiento, Entre Rios 1016",Entre Rios 1016,-32.94882616098827,-60.641776621341705,20
15,15,Plaza 25 de Mayo,"Plaza 25 de Mayo, Córdoba 720",Córdoba 720,-32.94755220262625,-60.63288778066635,20
