,id_station,reported_anchors,free_anchors,occupied_anchors,blocked_anchors,status,inicio,fin,dia,hora_inicio,hora_fin
0,5,21,20,1,0,normal,2021-12-18,2022-02-08,Saturday,07:00,17:00
1,75,20,19,1,0,normal,2021-12-23,2022-02-01,Thursday,21:30,18:30
2,74,20,19,1,1,normal,2021-12-27,2022-01-31,Monday,11:30,14:00
3,6,16,15,1,0,normal,2021-12-18,2022-01-27,Saturday,07:00,12:00
4,84,20,17,3,1,normal,2021-11-26,2022-01-25,Friday,19:00,22:00
6,60,20,19,1,0,normal,2021-12-27,2022-01-16,Monday,08:00,21:30
7,85,20,19,1,0,normal,2021-12-11,2022-01-14,Saturday,03:00,05:00
8,45,20,19,1,0,normal,2021-12-30,2022-01-14,Thursday,22:00,01:00
9,38,20,18,2,1,normal,2021-12-31,2022-01-12,Friday,04:00,00:30
10,76,20,19,1,1,normal,2021-12-07,2022-01-12,Tuesday,15:00,23:00
11,77,20,1,19,0,normal,2021-12-29,2022-01-11,Wednesday,06:00,18:00
12,72,20,18,2,1,normal,2021-12-20,2022-01-11,Monday,11:00,11:30
14,70,42,39,3,2,normal,2021-12-24,2022-01-09,Friday,11:00,18:00
15,18,20,1,19,0,normal,2021-12-31,2022-01-08,Friday,09:00,19:30
16,58,20,1,19,0,normal,2021-12-31,2022-01-07,Friday,02:30,20:30
17,24,20,19,1,0,normal,2021-12-30,2022-01-07,Thursday,07:30,17:30
18,68,16,15,1,0,normal,2021-12-09,2022-01-07,Thursday,15:30,12:00
19,28,16,15,1,0,normal,2021-12-31,2022-01-06,Friday,01:30,19:30
20,62,21,1,20,0,normal,2021-12-26,2022-01-06,Sunday,07:00,18:30
21,67,20,3,17,0,normal,2021-12-23,2022-01-06,Thursday,07:00,08:00
22,51,16,14,2,0,normal,2021-12-27,2022-01-05,Monday,08:30,20:00
23,8,21,20,1,0,normal,2021-12-27,2022-01-05,Monday,07:00,09:00
24,43,16,1,15,0,normal,2021-12-31,2022-01-05,Friday,06:30,00:00
25,26,20,19,1,0,normal,2021-12-31,2022-01-05,Friday,07:00,23:00
26,50,16,14,2,0,normal,2021-12-30,2022-01-04,Thursday,01:00,20:00
27,52,20,19,1,0,normal,2021-12-30,2022-01-04,Thursday,11:30,19:00
28,48,16,1,15,0,normal,2021-12-29,2022-01-04,Wednesday,18:30,16:30
29,57,20,19,1,1,normal,2021-12-29,2022-01-04,Wednesday,11:30,16:00
30,17,20,3,17,2,normal,2021-12-30,2022-01-04,Thursday,22:00,15:30
31,29,20,1,19,0,normal,2021-12-30,2022-01-04,Thursday,03:30,14:30
